Origen,Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,INE,Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,FccTot,FccArb,DisEsp,ComEsp,JefeEq,Estado
34,34,515,A,NA,164,370000,4708000,903,1,NA,NA,NA,NA,NA,NA,85,1,2,18,X
34,34,517,A,NA,164,371000,4707000,903,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,518,A,NA,165,382000,4724000,93,1,NA,NA,NA,NA,NA,NA,75,1,2,23,X
34,34,519,A,NA,165,383000,4724000,93,1,NA,NA,NA,NA,NA,NA,15,1,2,23,X
34,34,520,A,NA,165,384000,4724000,93,1,NA,NA,NA,NA,NA,NA,50,1,1,23,X
34,34,521,A,NA,165,377000,4722000,154,1,NA,NA,NA,NA,NA,NA,80,1,1,23,X
34,34,523,A,NA,165,380000,4722000,68,NA,NA,NA,NA,NA,NA,NA,70,1,1,23,X
34,34,524,A,NA,165,379000,4721000,68,1,NA,NA,NA,NA,NA,NA,85,1,3,23,X
34,34,526,A,NA,165,380000,4720000,61,1,NA,NA,NA,NA,NA,NA,,1,1,23,X
34,34,527,A,NA,165,382000,4720000,68,1,NA,NA,NA,NA,NA,NA,80,1,1,23,X
34,34,528,A,NA,165,376000,4718000,61,1,NA,NA,NA,NA,NA,NA,75,1,2,23,X
34,34,530,A,NA,165,376000,4717000,234,1,NA,NA,NA,NA,NA,NA,85,1,3,23,X
34,34,531,A,NA,165,376000,4716000,234,1,NA,NA,NA,NA,NA,NA,65,1,3,23,X
34,34,532,A,NA,165,377000,4716000,222,1,NA,NA,NA,NA,NA,NA,80,1,3,23,X
34,34,534,A,NA,165,376000,4715000,234,1,NA,NA,NA,NA,NA,NA,85,1,3,23,X
34,34,535,A,NA,165,379000,4715000,176,1,NA,NA,NA,NA,NA,NA,65,1,2,23,X
34,34,536,A,NA,165,382000,4715000,122,1,NA,NA,NA,NA,NA,NA,75,1,3,23,X
34,34,537,A,NA,165,383000,4715000,122,1,NA,NA,NA,NA,NA,NA,75,1,1,23,X
34,34,538,A,NA,165,384000,4715000,122,1,NA,NA,NA,NA,NA,NA,70,1,2,23,X
34,34,539,A,NA,165,376000,4714000,234,1,NA,NA,NA,NA,NA,NA,70,1,3,23,X
34,34,540,A,NA,165,379000,4714000,222,1,NA,NA,NA,NA,NA,NA,70,1,3,23,X
34,34,541,A,NA,165,380000,4714000,176,1,NA,NA,NA,NA,NA,NA,70,1,3,23,X
34,34,542,A,NA,165,381000,4714000,222,1,NA,NA,NA,NA,NA,NA,80,1,3,23,X
34,34,543,A,NA,165,383000,4714000,122,1,NA,NA,NA,NA,NA,NA,75,1,3,23,X
34,34,544,A,NA,165,385000,4714000,41,1,NA,NA,NA,NA,NA,NA,75,1,2,23,X
34,34,545,A,NA,165,386000,4714000,41,1,NA,NA,NA,NA,NA,NA,40,1,2,23,X
34,34,547,A,NA,165,376000,4713000,228,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,548,A,NA,165,377000,4713000,228,1,NA,NA,NA,NA,NA,NA,75,1,2,18,X
34,34,549,A,NA,165,384000,4713000,41,1,NA,NA,NA,NA,NA,NA,75,1,3,18,X
34,34,550,A,NA,165,376000,4712000,228,1,NA,NA,NA,NA,NA,NA,80,1,3,18,X
34,34,551,A,NA,165,378000,4712000,222,1,NA,NA,NA,NA,NA,NA,70,1,1,18,X
34,34,552,A,NA,165,380000,4712000,222,1,NA,NA,NA,NA,NA,NA,70,1,1,18,X
34,34,553,A,NA,165,377000,4711000,228,1,NA,NA,NA,NA,NA,NA,80,1,3,18,X
34,34,554,A,NA,165,376000,4710000,228,1,NA,NA,NA,NA,NA,NA,80,1,3,18,X
34,34,555,A,NA,165,377000,4710000,228,1,NA,NA,NA,NA,NA,NA,80,1,3,18,X
34,34,557,A,NA,165,376000,4709000,228,1,NA,NA,NA,NA,NA,NA,80,1,3,18,X
34,34,558,A,NA,165,377000,4708000,228,1,NA,NA,NA,NA,NA,NA,10,1,2,18,X
34,34,559,A,NA,165,378000,4708000,25,1,NA,NA,NA,NA,NA,NA,75,1,2,18,X
34,34,560,A,NA,165,379000,4708000,222,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,562,A,NA,165,394000,4708000,83,1,NA,NA,NA,NA,NA,NA,65,1,1,18,X
34,34,563,A,NA,165,376000,4707000,228,1,NA,NA,NA,NA,NA,NA,,1,2,18,X
34,34,564,A,NA,165,377000,4707000,228,1,NA,NA,NA,NA,NA,NA,10,1,2,18,X
34,34,566,A,NA,196,346000,4705000,169,NA,NA,NA,NA,NA,NA,NA,65,1,2,18,X
34,34,567,A,NA,196,347000,4705000,169,1,NA,NA,NA,NA,NA,NA,65,1,2,18,X
34,34,568,A,NA,196,346000,4704000,169,1,NA,NA,NA,NA,NA,NA,65,1,2,18,X
34,34,569,A,NA,196,346000,4703000,169,1,NA,NA,NA,NA,NA,NA,65,1,2,18,X
34,34,570,A,NA,196,347000,4703000,169,1,NA,NA,NA,NA,NA,NA,,1,2,18,X
34,34,571,A,NA,196,345000,4702000,91,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,572,A,NA,196,346000,4702000,231,1,NA,NA,NA,NA,NA,NA,65,1,2,18,X
34,34,573,A,NA,196,347000,4702000,91,1,NA,NA,NA,NA,NA,NA,55,1,2,18,X
34,34,574,A,NA,196,347000,4701000,91,1,NA,NA,NA,NA,NA,NA,60,1,2,18,X
34,34,575,A,NA,196,346000,4700000,91,1,NA,NA,NA,NA,NA,NA,60,1,2,18,X
34,34,576,A,NA,196,346000,4698000,91,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,577,A,NA,196,346000,4697000,91,1,NA,NA,NA,NA,NA,NA,65,1,2,18,X
34,34,578,A,NA,196,347000,4697000,91,1,NA,NA,NA,NA,NA,NA,65,1,2,18,X
34,34,579,A,NA,196,344000,4696000,91,1,NA,NA,NA,NA,NA,NA,60,1,1,18,X
34,34,580,A,NA,196,346000,4694000,94,1,NA,NA,NA,NA,NA,NA,60,1,2,18,X
34,34,581,A,NA,197,348000,4707000,169,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,582,A,NA,197,348000,4706000,169,1,NA,NA,NA,NA,NA,NA,80,1,1,18,X
34,34,583,A,NA,197,359000,4706000,126,1,NA,NA,NA,NA,NA,NA,80,5,2,18,X
34,34,584,A,NA,197,372000,4706000,228,1,NA,NA,NA,NA,NA,NA,,1,2,18,X
34,34,585,A,NA,197,348000,4705000,169,1,NA,NA,NA,NA,NA,NA,90,1,2,18,X
34,34,586,A,NA,197,371000,4705000,903,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,587,A,NA,197,372000,4705000,903,1,NA,NA,NA,NA,NA,NA,75,1,3,18,X
34,34,588,A,NA,197,348000,4704000,169,1,NA,NA,NA,NA,NA,NA,90,1,1,18,X
34,34,590,A,NA,197,360000,4704000,126,1,NA,NA,NA,NA,NA,NA,65,5,2,18,X
34,34,591,A,NA,197,350000,4703000,169,1,NA,NA,NA,NA,NA,NA,85,1,2,18,X
34,34,592,A,NA,197,348000,4702000,231,1,NA,NA,NA,NA,NA,NA,85,1,2,18,X
34,34,593,A,NA,197,361000,4702000,147,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,594,A,NA,197,348000,4701000,231,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,596,A,NA,197,362000,4699000,175,1,NA,NA,NA,NA,NA,NA,90,1,2,18,X
34,34,597,A,NA,197,363000,4697000,175,1,NA,NA,NA,NA,NA,NA,90,1,NA,18,X
34,34,598,A,NA,197,348000,4696000,94,1,NA,NA,NA,NA,NA,NA,60,6,2,18,X
34,34,599,A,NA,197,348000,4695000,94,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,600,A,NA,197,364000,4695000,175,1,NA,NA,NA,NA,NA,NA,75,1,1,18,X
34,34,601,A,NA,197,348000,4694000,94,1,NA,NA,NA,NA,NA,NA,,1,3,18,X
34,34,602,A,NA,197,348000,4693000,94,1,NA,NA,NA,NA,NA,NA,75,1,2,18,X
34,34,603,A,NA,197,365000,4693000,236,1,NA,NA,NA,NA,NA,NA,85,1,2,18,X
34,34,604,A,NA,197,348000,4692000,94,1,NA,NA,NA,NA,NA,NA,80,1,2,18,X
34,34,605,A,NA,197,349000,4692000,94,1,NA,NA,NA,NA,NA,NA,85,1,1,18,X
34,34,606,A,NA,197,356000,4692000,NA,3,NA,NA,NA,NA,NA,NA,,1,0,18,X
34,34,607,A,NA,197,366000,4692000,112,1,NA,NA,NA,NA,NA,NA,85,1,2,18,X
34,34,608,A,NA,197,349000,4691000,94,1,NA,NA,NA,NA,NA,NA,60,1,2,18,X
34,34,610,A,NA,197,367000,4691000,47,1,NA,NA,NA,NA,NA,NA,85,1,2,18,X
34,34,611,A,NA,197,350000,4690000,55,NA,NA,NA,NA,NA,NA,NA,65,1,2,18,X
34,34,612,A,NA,197,367000,4690000,47,NA,NA,NA,NA,NA,NA,NA,90,1,2,18,X
34,34,613,A,NA,198,385000,4706000,229,1,NA,NA,NA,NA,NA,NA,,1,2,18,X
34,34,616,A,NA,198,379000,4705000,25,1,NA,NA,NA,NA,NA,NA,70,1,3,18,X
34,34,617,A,NA,198,377000,4704000,25,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,621,A,NA,198,384000,4703000,71,1,NA,NA,NA,NA,NA,NA,70,1,1,18,X
34,34,622,A,NA,198,397000,4703000,83,1,NA,NA,NA,NA,NA,NA,50,1,1,18,X
34,34,623,A,NA,198,384000,4702000,71,1,NA,NA,NA,NA,NA,NA,70,1,1,18,X
34,34,624,A,NA,198,391000,4702000,901,1,NA,NA,NA,NA,NA,NA,70,1,2,18,X
34,34,625,A,NA,198,392000,4702000,83,1,NA,NA,NA,NA,NA,NA,70,1,3,18,X
34,34,627,A,NA,198,384000,4701000,71,1,NA,NA,NA,NA,NA,NA,70,1,1,18,X
34,34,628,A,NA,198,390000,4701000,901,1,NA,NA,NA,NA,NA,NA,85,1,3,18,X
34,34,629,A,NA,198,391000,4701000,901,1,NA,NA,NA,NA,NA,NA,80,1,3,18,X
34,34,630,A,NA,198,391000,4700000,901,1,NA,NA,NA,NA,NA,NA,25,1,1,18,X
34,34,632,A,NA,198,395000,4693000,116,1,NA,NA,NA,NA,NA,NA,60,1,1,18,X
34,34,635,A,NA,235,350000,4688000,55,1,NA,NA,NA,NA,NA,NA,65,1,1,18,X
34,34,636,A,NA,235,367000,4686000,47,1,NA,NA,NA,NA,NA,NA,50,5,1,18,X
34,34,637,A,NA,235,366000,4683000,NA,NA,NA,NA,NA,NA,NA,NA,,1,0,18,X
34,34,639,A,NA,235,367000,4681000,47,1,NA,NA,NA,NA,NA,NA,,1,1,18,X
34,34,640,A,NA,235,368000,4678000,243,1,NA,NA,NA,NA,NA,NA,,1,1,18,X
34,34,641,A,NA,235,368000,4677000,243,1,NA,NA,NA,NA,NA,NA,70,1,1,18,X
34,34,642,A,NA,235,369000,4675000,99,1,NA,NA,NA,NA,NA,NA,85,1,NA,18,X
34,34,643,A,NA,235,370000,4674000,99,1,NA,NA,NA,NA,NA,NA,50,1,1,14,X
34,34,644,A,NA,235,372000,4671000,159,1,NA,NA,NA,NA,NA,NA,65,1,1,14,X
34,34,649,A,NA,236,389000,4673000,174,1,NA,NA,NA,NA,NA,NA,55,1,2,14,X
34,34,650,A,NA,236,390000,4673000,17,1,NA,NA,NA,NA,NA,NA,65,1,1,14,X
34,34,651,A,NA,236,398000,4673000,17,2,NA,NA,NA,NA,NA,NA,65,1,1,14,X
34,34,653,A,NA,236,399000,4672000,17,1,NA,NA,NA,NA,NA,NA,65,1,1,14,X
34,34,657,A,NA,236,390000,4670000,17,1,NA,NA,NA,NA,NA,NA,75,1,2,14,X
34,34,658,A,NA,236,395000,4670000,17,1,NA,NA,NA,NA,NA,NA,80,1,2,14,X
34,34,659,A,NA,273,373000,4669000,155,1,NA,NA,NA,NA,NA,NA,20,1,2,14,X
34,34,660,A,NA,273,366000,4668000,29,1,NA,NA,NA,NA,NA,NA,75,1,1,14,X
34,34,661,A,NA,273,348000,4659000,1,1,NA,NA,NA,NA,NA,NA,65,1,1,14,X
34,34,662,A,NA,273,373000,4656000,120,1,NA,NA,NA,NA,NA,NA,70,1,1,14,X
34,34,663,A,NA,273,369000,4653000,120,1,NA,NA,NA,NA,NA,NA,65,1,2,14,X
34,34,664,A,NA,274,388000,4668000,17,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,666,A,NA,274,400000,4666000,186,1,NA,NA,NA,NA,NA,NA,35,1,2,14,X
34,34,667,A,NA,274,384000,4664000,11,1,NA,NA,NA,NA,NA,NA,35,1,2,14,X
34,34,668,A,NA,274,388000,4664000,17,1,NA,NA,NA,NA,NA,NA,20,1,2,14,X
34,34,670,A,NA,274,398000,4664000,186,1,NA,NA,NA,NA,NA,NA,30,1,3,14,X
34,34,674,A,NA,274,390000,4662000,17,1,NA,NA,NA,NA,NA,NA,65,1,2,14,X
34,34,675,A,NA,274,394000,4662000,63,1,NA,NA,NA,NA,NA,NA,70,1,2,14,X
34,34,676,A,NA,274,400000,4662000,141,NA,NA,NA,NA,NA,NA,NA,40,1,NA,14,X
34,34,678,A,NA,274,388000,4660000,221,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,679,A,NA,274,394000,4660000,182,1,NA,NA,NA,NA,NA,NA,40,1,2,14,X
34,34,680,A,NA,274,398000,4660000,63,1,NA,NA,NA,NA,NA,NA,60,1,1,14,X
34,34,682,A,NA,274,384000,4658000,189,1,NA,NA,NA,NA,NA,NA,45,1,2,14,X
34,34,683,A,NA,274,396000,4658000,63,1,NA,NA,NA,NA,NA,NA,50,1,3,14,X
34,34,686,A,NA,274,380000,4654000,217,1,NA,NA,NA,NA,NA,NA,30,1,2,14,X
34,34,687,A,NA,274,377000,4653000,217,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,689,A,NA,274,380000,4652000,217,1,NA,NA,NA,NA,NA,NA,30,1,1,14,X
34,34,690,A,NA,275,404000,4663000,121,1,NA,NA,NA,NA,NA,NA,60,1,1,14,X
34,34,692,A,NA,275,407000,4657000,210,1,NA,NA,NA,NA,NA,NA,40,1,1,14,X
34,34,693,A,NA,275,414000,4656000,60,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,695,A,NA,275,402000,4654000,84,1,NA,NA,NA,NA,NA,NA,40,1,1,14,X
34,34,697,A,NA,275,414000,4654000,NA,1,NA,NA,NA,NA,NA,NA,10,1,0,14,X
34,34,699,A,NA,275,406000,4652000,178,1,NA,NA,NA,NA,NA,NA,40,1,1,14,X
34,34,701,A,NA,311,371000,4649000,120,1,NA,NA,NA,NA,NA,NA,55,1,1,14,X
34,34,702,A,NA,311,370000,4648000,120,1,NA,NA,NA,NA,NA,NA,65,1,2,14,X
34,34,703,A,NA,311,372000,4648000,120,1,NA,NA,NA,NA,NA,NA,55,1,2,14,X
34,34,705,A,NA,311,372000,4647000,120,1,NA,NA,NA,NA,NA,NA,65,1,2,14,X
34,34,706,A,NA,311,370000,4646000,120,1,NA,NA,NA,NA,NA,NA,80,1,1,14,X
34,34,707,A,NA,311,372000,4646000,120,1,NA,NA,NA,NA,NA,NA,75,1,2,14,X
34,34,708,A,NA,311,353000,4645000,10,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,709,A,NA,311,354000,4645000,10,1,NA,NA,NA,NA,NA,NA,50,1,1,14,X
34,34,711,A,NA,311,370000,4644000,120,1,NA,NA,NA,NA,NA,NA,65,1,1,14,X
34,34,712,A,NA,311,371000,4643000,69,1,NA,NA,NA,NA,NA,NA,75,1,2,14,X
34,34,714,A,NA,311,370000,4642000,69,1,NA,NA,NA,NA,NA,NA,70,1,2,14,X
34,34,715,A,NA,311,364000,4640000,69,1,NA,NA,NA,NA,NA,NA,70,1,2,14,X
34,34,717,A,NA,311,356000,4639000,10,1,NA,NA,NA,NA,NA,NA,75,1,2,14,X
34,34,718,A,NA,311,357000,4639000,10,1,NA,NA,NA,NA,NA,NA,75,1,2,14,X
34,34,719,A,NA,311,358000,4639000,10,1,NA,NA,NA,NA,NA,NA,75,1,2,14,X
34,34,721,A,NA,311,350000,4638000,10,1,NA,NA,NA,NA,NA,NA,65,1,2,14,X
34,34,722,A,NA,311,352000,4638000,10,1,NA,NA,NA,NA,NA,NA,10,1,2,14,X
34,34,723,A,NA,311,353000,4638000,10,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,724,A,NA,311,366000,4638000,69,1,NA,NA,NA,NA,NA,NA,70,1,2,14,X
34,34,725,A,NA,311,368000,4638000,69,1,NA,NA,NA,NA,NA,NA,35,1,2,14,X
34,34,727,A,NA,311,353000,4637000,10,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,728,A,NA,311,352000,4636000,10,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,730,A,NA,311,371000,4633000,69,1,NA,NA,NA,NA,NA,NA,55,1,1,14,X
34,34,732,A,NA,312,381000,4647000,98,1,NA,NA,NA,NA,NA,NA,70,1,1,14,X
34,34,733,A,NA,312,386000,4647000,146,1,NA,NA,NA,NA,NA,NA,35,1,1,14,X
34,34,735,A,NA,312,384000,4644000,177,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,736,A,NA,312,392000,4644000,238,1,NA,NA,NA,NA,NA,NA,60,1,1,14,X
34,34,737,A,NA,312,381000,4643000,86,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,738,A,NA,312,383000,4643000,86,NA,NA,NA,NA,NA,NA,NA,15,1,NA,14,X
34,34,739,A,NA,312,398000,4643000,22,NA,NA,NA,NA,NA,NA,NA,30,1,NA,14,X
34,34,740,A,NA,312,379000,4640000,181,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,741,A,NA,312,383000,4640000,86,1,NA,NA,NA,NA,NA,NA,40,1,1,14,X
34,34,742,A,NA,312,388000,4640000,196,1,NA,NA,NA,NA,NA,NA,50,1,1,14,X
34,34,743,A,NA,312,387000,4639000,196,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,745,A,NA,312,377000,4637000,181,1,NA,NA,NA,NA,NA,NA,35,1,1,14,X
34,34,748,A,NA,312,399000,4637000,205,NA,NA,NA,NA,NA,NA,NA,20,1,NA,14,X
34,34,750,A,NA,312,394000,4636000,51,1,NA,NA,NA,NA,NA,NA,65,1,1,14,X
34,34,753,A,NA,312,380000,4633000,NA,NA,NA,NA,NA,NA,NA,NA,,1,0,14,X
34,34,755,A,NA,313,404000,4650000,22,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,756,A,NA,313,406000,4650000,22,1,NA,NA,NA,NA,NA,NA,50,1,1,14,X
34,34,758,A,NA,313,406000,4644000,22,1,NA,NA,NA,NA,NA,NA,60,1,2,14,X
34,34,759,A,NA,313,404000,4642000,22,1,NA,NA,NA,NA,NA,NA,60,1,3,14,X
34,34,760,A,NA,313,406000,4642000,22,1,NA,NA,NA,NA,NA,NA,80,1,2,14,X
34,34,761,A,NA,313,410000,4642000,12,1,NA,NA,NA,NA,NA,NA,5,1,2,14,X
34,34,763,A,NA,313,406000,4638000,205,1,NA,NA,NA,NA,NA,NA,45,1,2,14,X
34,34,764,A,NA,313,412000,4638000,NA,1,NA,NA,NA,NA,NA,NA,50,1,0,14,X
34,34,765,A,NA,313,416000,4638000,121,1,NA,NA,NA,NA,NA,NA,30,1,2,14,X
34,34,766,A,NA,313,404000,4636000,NA,1,NA,NA,NA,NA,NA,NA,30,1,0,14,X
34,34,767,A,NA,313,404000,4634000,58,1,NA,NA,NA,NA,NA,NA,40,1,1,14,X
34,34,768,A,NA,343,352000,4632000,10,1,NA,NA,NA,NA,NA,NA,40,1,2,14,X
34,34,771,A,NA,344,386000,4632000,6,1,NA,NA,NA,NA,NA,NA,45,1,2,14,X
34,34,772,A,NA,344,387000,4632000,6,NA,NA,NA,NA,NA,NA,NA,45,1,NA,14,X
34,34,774,A,NA,344,381000,4630000,133,1,NA,NA,NA,NA,NA,NA,70,1,2,14,X
34,34,775,A,NA,344,390000,4630000,201,NA,NA,NA,NA,NA,NA,NA,60,1,NA,14,X
34,34,777,A,NA,344,394000,4630000,NA,1,NA,NA,NA,NA,NA,NA,20,1,0,14,X
34,34,778,A,NA,344,396000,4630000,NA,1,NA,NA,NA,NA,NA,NA,40,1,0,14,X
34,34,779,A,NA,344,398000,4630000,82,1,NA,NA,NA,NA,NA,NA,70,1,1,14,X
34,34,780,A,NA,344,378000,4629000,66,1,NA,NA,NA,NA,NA,NA,75,1,1,14,X
34,34,781,A,NA,344,388000,4629000,6,1,NA,NA,NA,NA,NA,NA,70,1,1,14,X
34,34,783,A,NA,344,390000,4628000,NA,1,NA,NA,NA,NA,NA,NA,40,1,0,14,X
34,34,786,A,NA,345,404000,4631000,82,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,787,A,NA,345,402000,4629000,82,1,NA,NA,NA,NA,NA,NA,50,1,2,14,X
34,34,789,A,NA,345,413000,4627000,50,1,NA,NA,NA,NA,NA,NA,15,1,2,14,X
34,34,1000,N,NA,81,375000,4766000,NA,NA,NA,NA,NA,NA,NA,NA,80,1,0,24,X
34,34,1001,N,NA,82,380000,4764000,NA,NA,NA,NA,NA,NA,NA,NA,70,1,0,20,X
34,34,1002,N,NA,105,346000,4747000,NA,NA,NA,NA,NA,NA,NA,NA,60,1,0,24,X
34,34,1003,N,NA,106,368000,4761000,NA,NA,NA,NA,NA,NA,NA,NA,15,1,0,24,X
34,34,1004,N,NA,106,364000,4758000,NA,NA,NA,NA,NA,NA,NA,NA,35,1,0,23,X
34,34,1005,N,NA,106,355000,4757000,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,24,X
34,34,1006,N,NA,106,365000,4757000,NA,NA,NA,NA,NA,NA,NA,NA,60,1,0,24,X
34,34,1007,N,NA,106,372000,4757000,NA,NA,NA,NA,NA,NA,NA,NA,30,1,0,24,X
34,34,1008,N,NA,106,353000,4756000,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,24,X
34,34,1009,N,NA,106,357000,4756000,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,24,X
34,34,1010,N,NA,106,354000,4755000,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,24,X
34,34,1011,N,NA,106,360000,4755000,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,24,X
34,34,1012,N,NA,106,375000,4755000,NA,NA,NA,NA,NA,NA,NA,NA,75,1,0,24,X
34,34,1013,N,NA,106,362000,4754000,NA,NA,NA,NA,NA,NA,NA,NA,30,1,0,24,X
34,34,1014,N,NA,106,354000,4753000,NA,NA,NA,NA,NA,NA,NA,NA,55,1,0,24,X
34,34,1015,N,NA,106,371000,4753000,NA,NA,NA,NA,NA,NA,NA,NA,50,1,0,24,X
34,34,1016,N,NA,106,351000,4752000,NA,NA,NA,NA,NA,NA,NA,NA,30,1,0,24,X
34,34,1017,N,NA,106,375000,4752000,NA,NA,NA,NA,NA,NA,NA,NA,70,1,0,24,X
34,34,1018,N,NA,106,354000,4751000,NA,NA,NA,NA,NA,NA,NA,NA,75,1,0,24,X
34,34,1019,N,NA,106,369000,4751000,NA,NA,NA,NA,NA,NA,NA,NA,65,1,0,24,X
34,34,1020,N,NA,106,371000,4750000,NA,NA,NA,NA,NA,NA,NA,NA,40,1,0,24,X
34,34,1021,N,NA,106,354000,4749000,NA,NA,NA,NA,NA,NA,NA,NA,75,1,0,24,X
34,34,1022,N,NA,106,370000,4749000,NA,NA,NA,NA,NA,NA,NA,NA,65,1,0,24,X
